영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
새벽의 Tango,Tango at Dawn,2024,한국,장편,드라마,개봉,김효은,한국영화아카데미
여자 마사지 : 한여자 세남자,,2025,일본,장편,멜로/로맨스,개봉,,
아이스맨,ICEMAN,2018,독일,장편,"액션,드라마",개봉,,
상사의 아내 : 들이대는 남편 부하 직원들 무삭제,,2024,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
내 아내의 엄마 3,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
나쁜남자 : 여자들이 빠지는 이유,,2026,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
줄무늬 파자마를 입은 소년,The Boy in the Striped Pajamas,2008,"영국,미국",장편,"드라마,전쟁",개봉,마크 허만,
르세라핌 브이알 콘서트 : 인비테이션,LE SSERAFIM VR CONCERT : INVITATION,2026,한국,장편,드라마,개봉,이미경,
새엄마 몸 속에 짜내버린 체액,SIN IJYOUSEIKOUSUTORI-18,2024,일본,장편,"멜로/로맨스,드라마",개봉,,
새아들과의 끝없는 번식본능,SIN IJYOUSEIKOUSUTORI-1,2024,일본,장편,"멜로/로맨스,드라마",개봉,,
기동전사 건담: 섬광의 하사웨이,MOBILE SUIT GUNDAM HATHAWAY,2021,일본,장편,애니메이션,개봉,무라세 슈코,
오시리스,Osiris,2025,미국,장편,"SF,액션,공포(호러)",개봉,윌리엄 카우프먼,
플래닛 어스 : 대자연의 힘 ,Planet Earth Ⅲ,2024,영국,장편,다큐멘터리,개봉,,
원 오크 록 디톡스 투어 인 시네마,ONE OK ROCK DETOX JAPAN TOUR 2025 AT NISSAN STADIUM IN CINEMAS,2026,한국,장편,공연,개봉,,
리 크로닌의 미이라,Lee Cronin's The Mummy,2026,미국,장편,공포(호러),개봉,리 크로닌,
기동전사 건담: 섬광의 하사웨이 키르케의 마녀,MOBILE SUIT GUNDAM HATHAWAY The Sorcery of Nymph Circe,2026,일본,장편,애니메이션,개봉,무라세 슈코,
누룩,The Yeast,2024,한국,장편,"가족,미스터리,드라마",개봉,장동윤,(주)1031스튜디오
런닝맨: 라이트&쉐도우,Running Man: Light & Shadow,2023,한국,장편,애니메이션,개봉,윤준상,(주)로커스
우주 수호대: 하하하 행성의 대모험,Cosmicrew: Storm Force,2023,중국,장편,"애니메이션,어드벤처",개봉,,
빨간 나라를 보았니,,2026,한국,장편,다큐멘터리,개봉,홍영아,
폭탄,Bakudan,2025,일본,장편,스릴러,개봉,나가이 아키라,
붉은 10월의 반란 파트 2,Mutiny 2,2024,기타,장편,"액션,드라마,전쟁",개봉,,
노멀,NORMAL,2025,미국,장편,"범죄,액션,스릴러",개봉,벤 휘틀리,
고트: 더 레전드,GOAT,2026,미국,장편,"애니메이션,액션,어드벤처,코미디",개봉,,
"극장판 총집편 걸즈 밴드 크라이 있잖아, 미래.","GIRLS BAND CRY The Movie: Hey, Our Future",2025,일본,장편,애니메이션,개봉,사카이 카즈오,
침묵의 친구,Silent Friend,2025,독일,장편,드라마,개봉,,
주희에게,Dear Juhee,2025,한국,장편,다큐멘터리,개봉,,미디어나무(주)
쉘터,Shelter,2026,미국,장편,"액션,스릴러",개봉,릭 로먼 워,
미야자키 하야오의 그대들은 어떻게 살 것인가,Hayao Miyazaki's how do you live,2024,일본,장편,다큐멘터리,개봉,,
류이치 사카모토: 도쿄 멜로디 ,Tokyo melody: un film sur Ryuichi Sakamoto,1985,프랑스,장편,다큐멘터리,개봉,엘리자베스 레나드,
간첩사냥,Unlikely Allies,2025,한국,장편,"코미디,범죄",개봉,이준혁,한국영화아카데미
끝장수사,THE ULTIMATE DUO,2026,한국,장편,"범죄,액션",개봉,박철환,"청년필름(주),주식회사 이안픽처스"
네가 마지막으로 남긴 노래,The Last song You Left Behind,2026,일본,장편,멜로/로맨스,개봉,미키 타카히로,
위 리브 인 타임,We Live in Time,2024,프랑스,장편,"멜로/로맨스,드라마",개봉,존 크로울리,
엔하이픈 : 이머전 인 시네마,ENHYPEN : IMMERSION IN CINEMAS,2026,한국,장편,기타,개봉,김경국,"(주)어메이즈브이알코리아,씨제이포디플렉스 주식회사"
크라임 101,Crime 101,2026,미국,장편,"범죄,드라마,스릴러",개봉,바트 레이튼,
특별편집판 기동전사 건담 철혈의 오펀스 우르드 헌트 -작은 도전자의 궤적-,Mobile Suit Gundam Iron-Blooded Orphans Urdr-Hunt “-Path of the Little Challenger-”,2025,일본,장편,애니메이션,개봉,나가이 타츠유키,
붉은 10월의 반란 파트 1,Mutiny 1,2024,기타,장편,"액션,드라마,전쟁",개봉,,
오피셜히게단디즘 라이브 앳 스타디움 2025,OFFICIAL HIGE DANDISM LIVE at STADIUM 2025,2025,일본,장편,공연,개봉,,
모래그릇,The Castle of Sand,1974,일본,장편,"드라마,범죄",개봉,,
킬 빌: 더 홀 블러디 어페어,Kill Bill: The Whole Bloody Affair,2025,미국,장편,액션,개봉,쿠엔틴 타란티노,
스크림 7,SCREAM 7,2025,미국,장편,공포(호러),개봉,케빈 윌리엄슨,
술타나의 꿈,Sultana’s Dream,2023,스페인,장편,애니메이션,개봉,,
마법 숲 동물 친구들 대모험,3 Little Kungpoo Goats,2023,아랍에미리트연합국정부,장편,"애니메이션,어드벤처",개봉,,
류이치 사카모토: 다이어리,Ryuichi Sakamoto: Diaries,2025,일본,장편,다큐멘터리,개봉,,
두 검사,Two Prosecutors,2025,"프랑스,독일,네덜란드",장편,기타,개봉,세르게이 로즈니차,
녹나무의 파수꾼,The Keeper of the Camphor Tree,2026,일본,장편,애니메이션,개봉,이토 토모히코,
유부녀 : 남편보다 맛있는 남자들 무삭제,,2024,한국,장편,멜로/로맨스,개봉,,(주)영화사가을
